,Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/31/20 ($m),Sector,Industry,City,State,Latitude,Longitude
205,206,Jacobs Engineering Group,"50,000",2,"$15,464 ",3.20%,$848.00 ,418.90%,"$11,463 ","$10,547 ",Engineering &  Construction,"Engineering, Construction",Dallas,TX,32.7766642,-96.7969879
206,207,Waste Management,"44,900",6,"$15,455 ",3.60%,"$1,670.00 ",-13.20%,"$27,743 ","$39,211 ",Business Services,Waste Management,Houston,TX,29.7604267,-95.36980279999999
207,208,C.H. Robinson Worldwide,"15,427",-23,"$15,310 ",-7.90%,$577.00 ,-13.20%,"$4,641 ","$8,695 ",Transportation,Transportation and Logistics,Eden Prairie,MN,44.8546856,-93.470786
208,209,PPG Industries,"47,600",-4,"$15,146 ",-1.50%,"$1,243.00 ",-7.30%,"$17,708 ","$19,722 ",Chemicals,Chemicals,Pittsburgh,PA,40.440624799999995,-79.9958864
209,210,Booking Holdings,"26,400",6,"$15,066 ",3.70%,"$4,865.00 ",21.70%,"$21,402 ","$55,241 ",Technology,Internet Services and Retailing,Norwalk,CT,41.117744,-73.4081575
210,211,Omnicom Group,"70,000",-5,"$14,954 ",-2.20%,"$1,339.10 ",1.00%,"$26,783 ","$11,906 ",Business Services,"Advertising, marketing",New York,NY,40.7127753,-74.0059728
211,212,Loews,"18,605",14,"$14,931 ",6.10%,$932.00 ,46.50%,"$82,243 ","$10,023 ",Financials,Insurance: Property and Casualty (Stock),New York,NY,40.7127753,-74.0059728
212,213,Ecolab,"50,200",2,"$14,906 ",1.60%,"$1,558.90 ",9.10%,"$20,869 ","$45,061 ",Chemicals,Chemicals,St Paul,MN,44.953702899999996,-93.0899578
213,214,Stryker,"40,000",19,"$14,884 ",9.40%,"$2,083.00 ",-41.40%,"$30,167 ","$62,405 ",Health Care,Medical Products and Equipment,Kalamazoo,MI,42.291706899999994,-85.5872286
214,215,Estee Lauder,"48,000",16,"$14,863 ",8.60%,"$1,785.00 ",61.10%,"$13,156 ","$57,289 ",Household Products,Household and Personal Products,New York,NY,40.7127753,-74.0059728
